conditions	conditions-href	title	other_names	test	meds	symptom	percent	attr	freq
Atrial fibrillation	http://www.symcat.com/conditions/atrial-fibrillation	Atrial fibrillation	"Also known as AF, A Fib, and Auricular Fibrillation"		Propafenone				
Head and neck cancer	http://www.symcat.com/conditions/head-and-neck-cancer	Head and neck cancer	null	Complete blood count (Cbc)					
Osteoarthritis	http://www.symcat.com/conditions/osteoarthritis	Osteoarthritis	"Also known as Degenerative Joint Disease, Degenerative Arthritis, Osteoarthrosis, Degenerative Arthropathy, and Hypertrophic Arthritis"	Other non-OR therapeutic procedures on musculoskeletal system					
Diabetes	http://www.symcat.com/conditions/diabetes	Diabetes	null		Metformin				
Arrhythmia	http://www.symcat.com/conditions/arrhythmia	Arrhythmia	"Also known as Irregular Heartbeat, Cardiac Arrhythmia, Heart Arrhythmia, Cardiac Dysrhythmia, and Abnormal Heart Rhythms"	Radiographic imaging procedure					
Common cold	http://www.symcat.com/conditions/common-cold	Common cold	"Also known as Head Cold, Acute Rhinitis, and Acute Nasopharyngitis"					Male	1.0x
Smoking or tobacco addiction	http://www.symcat.com/conditions/smoking-or-tobacco-addiction	Smoking or tobacco addiction	Also known as Nicotine Addiction and Nicotine Dependence					1-4 years	0.0x
Degenerative disc disease	http://www.symcat.com/conditions/degenerative-disc-disease	Degenerative disc disease	Also known as Disk Degeneration and Intervertebral Disc Degeneration			Neck pain	60		
Transient ischemic attack	http://www.symcat.com/conditions/transient-ischemic-attack	Transient ischemic attack	Also known as TIA		Gadopentetate Dimeglumine (Magnevist)				
Mitral valve disease	http://www.symcat.com/conditions/mitral-valve-disease	Mitral valve disease	Also known as Mitral Valve Disorder					< 1 years	0.2x
Gallstone	http://www.symcat.com/conditions/gallstone	Gallstone	"Also known as Cholelithiasis, Gallstone Disease, and Calculus Of Gallbladder"		Glycopyrrolate				
Head injury	http://www.symcat.com/conditions/head-injury	Head injury	"Also known as Head Trauma, Craniocerebral Trauma, and Craniocerebral Injury"			Headache	68		
Prostate cancer	http://www.symcat.com/conditions/prostate-cancer	Prostate cancer	Also known as Cancer Of The Prostate and Malignant Neoplasm Of Prostate					Female	0.0x
Chronic pain disorder	http://www.symcat.com/conditions/chronic-pain-disorder	Chronic pain disorder	Also known as Pain Syndrome and Pain Disorder					Male	1.0x
Open wound due to trauma	http://www.symcat.com/conditions/open-wound-due-to-trauma	Open wound due to trauma	null					Hispanic	1.0x
Knee ligament or meniscus tear	http://www.symcat.com/conditions/knee-ligament-or-meniscus-tear	Knee ligament or meniscus tear	Also known as Knee Derangement	Wound care management					
Liver disease	http://www.symcat.com/conditions/liver-disease	Liver disease	"Also known as Liver Disease, Disease Of Liver, Hepatic Disease, Hepatic Disorder, Hepatocellular Disease, and Hepatopathy"	Glucose measurement (Glucose level)					
Pregnancy	http://www.symcat.com/conditions/pregnancy	Pregnancy	Also known as Gestation					5-14 years	0.0x
Pain after an operation	http://www.symcat.com/conditions/pain-after-an-operation	Pain after an operation	Also known as Postoperative Pain					5-14 years	0.4x
Hypercholesterolemia	http://www.symcat.com/conditions/hypercholesterolemia	Hypercholesterolemia	Also known as Elevated Cholesterol and High Blood Cholesterol Level	Ultrasonography (Ultrasound)					
Open wound of the knee	http://www.symcat.com/conditions/open-wound-of-the-knee	Open wound of the knee	null		Collagen				
Crohn disease	http://www.symcat.com/conditions/crohn-disease	Crohn disease	Also known as Granulomatous Enteritis	X-ray computed tomography (Scan ct)					
Bursitis	http://www.symcat.com/conditions/bursitis	Bursitis	Also known as Inflammation Of Bursa	Plain x-ray (X ray)					
Dysthymic disorder	http://www.symcat.com/conditions/dysthymic-disorder	Dysthymic disorder	Also known as Dysthymia					White	1.2x
Benign vaginal discharge (leukorrhea)	http://www.symcat.com/conditions/benign-vaginal-discharge-leukorrhea	Benign vaginal discharge (leukorrhea)	Also known as Cervical Discharge			Vaginal pain	18		
Decubitus ulcer	http://www.symcat.com/conditions/decubitus-ulcer	Decubitus ulcer	"Also known as Pressure Ulcer, Pressure Sores, Bed Sore, and Contact Ulcers"	Excision (Removal)					
Vaginal yeast infection	http://www.symcat.com/conditions/vaginal-yeast-infection	Vaginal yeast infection	"Also known as Vaginal Candidiasis, Vaginal Thrush, Candida Vaginitis, Yeast Vaginitis, Monilial Vaginitis, and Vaginal Moniliasis"			Lower abdominal pain	17		
Deep vein thrombosis (DVT)	http://www.symcat.com/conditions/deep-vein-thrombosis-dvt	Deep vein thrombosis (DVT)	Also known as DVT and Deep Thrombophlebitis			Disturbance of smell or taste	3		
Complex regional pain syndrome	http://www.symcat.com/conditions/complex-regional-pain-syndrome	Complex regional pain syndrome	null					Other	0.7x
Acute otitis media	http://www.symcat.com/conditions/acute-otitis-media	Acute otitis media	null					Hispanic	1.0x
Systemic lupus erythematosis (SLE)	http://www.symcat.com/conditions/systemic-lupus-erythematosis-sle	Systemic lupus erythematosis (SLE)	"Also known as Lupus, SLE, and Disseminated Lupus Erythematosus"					5-14 years	0.5x
Appendicitis	http://www.symcat.com/conditions/appendicitis	Appendicitis	null	Hematologic tests (Blood test)					
Chronic constipation	http://www.symcat.com/conditions/chronic-constipation	Chronic constipation	null					30-44 years	0.5x
Cystitis	http://www.symcat.com/conditions/cystitis	Cystitis	Also known as Bladder Inflammation and Inflammation Of Bladder			Back pain	31		
Macular degeneration	http://www.symcat.com/conditions/macular-degeneration	Macular degeneration	Also known as Macula Lutea Degeneration					45-59 years	0.6x
Skin polyp	http://www.symcat.com/conditions/skin-polyp	Skin polyp	Also known as Benign Skin Tumor	Other diagnostic procedures on skin and subcutaneous tissue					
Chronic ulcer	http://www.symcat.com/conditions/chronic-ulcer	Chronic ulcer	Also known as Chronic Skin Ulcer					Hispanic	0.6x
Skin pigmentation disorder	http://www.symcat.com/conditions/skin-pigmentation-disorder	Skin pigmentation disorder	null		Metronidazole Topical Product				
Spondylosis	http://www.symcat.com/conditions/spondylosis	Spondylosis	null	Other diagnostic procedures (interview; evaluation; consultation)					
Nose disorder	http://www.symcat.com/conditions/nose-disorder	Nose disorder	"Also known as Disease Of The Nose, Nose Disease, and Nasal Disorder"		Desflurane				
Spontaneous abortion	http://www.symcat.com/conditions/spontaneous-abortion	Spontaneous abortion	Also known as Miscarriage and Miscarriage Of Pregnancy	Standard pregnancy test					
Dysthymic disorder	http://www.symcat.com/conditions/dysthymic-disorder	Dysthymic disorder	Also known as Dysthymia			Fears and phobias	4		
Atrophic skin condition	http://www.symcat.com/conditions/atrophic-skin-condition	Atrophic skin condition	null		Collagen				
Cholecystitis	http://www.symcat.com/conditions/cholecystitis	Cholecystitis	Also known as Gallbladder Inflammation					Other	1.0x
Acute sinusitis	http://www.symcat.com/conditions/acute-sinusitis	Acute sinusitis	null					75+ years	0.2x
Hemorrhoids	http://www.symcat.com/conditions/hemorrhoids	Hemorrhoids	Also known as Piles		Hydrocortisone-Pramoxine Topical				
Chronic sinusitis	http://www.symcat.com/conditions/chronic-sinusitis	Chronic sinusitis	Also known as Chronic Sinus Infection			Ear pain	39		
Developmental disability	http://www.symcat.com/conditions/developmental-disability	Developmental disability	Also known as Child Development Disorder		Methylphenidate				
Cardiomyopathy	http://www.symcat.com/conditions/cardiomyopathy	Cardiomyopathy	Also known as Heart Muscle Disease and Myocardial Disease			Palpitations	13		
Tonsillar hypertrophy	http://www.symcat.com/conditions/tonsillar-hypertrophy	Tonsillar hypertrophy	null	Excision (Removal)					
Seasonal allergies (hay fever)	http://www.symcat.com/conditions/seasonal-allergies-hay-fever	Seasonal allergies (hay fever)	"Also known as Hay Fever, Seasonal Allergic Rhinitis, and Pollenosis"	Ophthalmologic and otologic diagnosis and treatment					
Kidney stone	http://www.symcat.com/conditions/kidney-stone	Kidney stone	"Also known as Nephrolithiasis, Renal Calculi, Renal Calculus, Kidney Calculi, and Calculus Of Kidney"		Belladonna-Opium				
Seborrheic keratosis	http://www.symcat.com/conditions/seborrheic-keratosis	Seborrheic keratosis	"Also known as Seborrhoeic Keratosis, Senile Keratosis, Inverted Follicular Keratosis, Seborrheic Warts, and Basal Cell Papilloma"		Fluorouracil				
Shingles (herpes zoster)	http://www.symcat.com/conditions/shingles-herpes-zoster	Shingles (herpes zoster)	"Also known as Zoster, Herpes Zoster, and Herpes Zona"					White	1.2x
Joint effusion	http://www.symcat.com/conditions/joint-effusion	Joint effusion	Also known as Hydrarthrosis and Synovial Effusion					< 1 years	0.0x
Insect bite	http://www.symcat.com/conditions/insect-bite	Insect bite	null		Calamine-Pramoxine Topical				
Rectal disorder	http://www.symcat.com/conditions/rectal-disorder	Rectal disorder	Also known as Rectal Disease			Heartburn	7		
Foreign body in the eye	http://www.symcat.com/conditions/foreign-body-in-the-eye	Foreign body in the eye	null		Moxifloxacin (Avelox)				
Alzheimer disease	http://www.symcat.com/conditions/alzheimer-disease	Alzheimer disease	null		Dapiprazole Ophthalmic				
Esophagitis	http://www.symcat.com/conditions/esophagitis	Esophagitis	null			Upper abdominal pain	33		
Indigestion	http://www.symcat.com/conditions/indigestion	Indigestion	Also known as Dyspepsia					< 1 years	0.1x
Seasonal allergies (hay fever)	http://www.symcat.com/conditions/seasonal-allergies-hay-fever	Seasonal allergies (hay fever)	"Also known as Hay Fever, Seasonal Allergic Rhinitis, and Pollenosis"		Fluticasone Topical Product				
Cold sore	http://www.symcat.com/conditions/cold-sore	Cold sore	"Also known as Cold Sores, Fever Blister, Fever Sore, Lip Herpes, and Herpes Labialis"					Male	0.7x
Breast cancer	http://www.symcat.com/conditions/breast-cancer	Breast cancer	Also known as Cancer Of Breast and Malignant Neoplasm Of Breast					White	1.2x
Hyperemesis gravidarum	http://www.symcat.com/conditions/hyperemesis-gravidarum	Hyperemesis gravidarum	Also known as Excessive Vomiting In Pregnancy					Male	0.0x
Delirium	http://www.symcat.com/conditions/delirium	Delirium	Also known as Acute Brain Syndrome		Donepezil (Aricept)				
Scoliosis	http://www.symcat.com/conditions/scoliosis	Scoliosis	null			Knee stiffness or tightness	2		
Hyperlipidemia	http://www.symcat.com/conditions/hyperlipidemia	Hyperlipidemia	Also known as Lipidemia and Excessive Fat In The Blood					1-4 years	0.0x
Conjunctivitis due to virus	http://www.symcat.com/conditions/conjunctivitis-due-to-virus	Conjunctivitis due to virus	Also known as Viral Conjunctivitis			Eye redness	91		
Bipolar disorder	http://www.symcat.com/conditions/bipolar-disorder	Bipolar disorder	"Also known as Manic Depression, Bipolar Affective Disorder, and Bipolar Mood Disorder"					60-74 years	0.6x
Fibroadenoma	http://www.symcat.com/conditions/fibroadenoma	Fibroadenoma	null			Bones are painful	5		
Post-traumatic stress disorder (PTSD)	http://www.symcat.com/conditions/post-traumatic-stress-disorder-ptsd	Post-traumatic stress disorder (PTSD)	Also known as PTSD					Black	0.7x
Adjustment reaction	http://www.symcat.com/conditions/adjustment-reaction	Adjustment reaction	null					Male	1.0x
Benign prostatic hyperplasia (BPH)	http://www.symcat.com/conditions/benign-prostatic-hyperplasia-bph	Benign prostatic hyperplasia (BPH)	"Also known as BPH, Benign Prostatic Hypertrophy, and Benign Prostate Enlargement"			Symptoms of bladder	8		
Open wound of the head	http://www.symcat.com/conditions/open-wound-of-the-head	Open wound of the head	null	Application of splint (Splinting)					
Vitamin B12 deficiency	http://www.symcat.com/conditions/vitamin-b12-deficiency	Vitamin B12 deficiency	Also known as Cobalamin Deficiency and Cyanocobalamin Deficiency		Epoetin Alfa (Procrit)				
Oppositional disorder	http://www.symcat.com/conditions/oppositional-disorder	Oppositional disorder	Also known as Oppositional Defiant Disorder					White	1.1x
Viral hepatitis	http://www.symcat.com/conditions/viral-hepatitis	Viral hepatitis	null					30-44 years	1.2x
Bipolar disorder	http://www.symcat.com/conditions/bipolar-disorder	Bipolar disorder	"Also known as Manic Depression, Bipolar Affective Disorder, and Bipolar Mood Disorder"					Hispanic	0.6x
Drug reaction	http://www.symcat.com/conditions/drug-reaction	Drug reaction	Also known as Medication Side Effect and Adverse Drug Reaction	Cardiac monitoring (Cardiac monitor)					
Anemia	http://www.symcat.com/conditions/anemia	Anemia	null		"Ferric Oxide, Saccharated (Venofer)"				
Dementia	http://www.symcat.com/conditions/dementia	Dementia	null			Disturbance of memory	53		
Varicose veins	http://www.symcat.com/conditions/varicose-veins	Varicose veins	"Also known as Varicose Vein, Varices, Varix, Phlebectasia, Venous Ectasia, and Enlarged Tortuous Blood Vessel"					75+ years	2.4x
Vaginal yeast infection	http://www.symcat.com/conditions/vaginal-yeast-infection	Vaginal yeast infection	"Also known as Vaginal Candidiasis, Vaginal Thrush, Candida Vaginitis, Yeast Vaginitis, Monilial Vaginitis, and Vaginal Moniliasis"					Female	1.7x
Injury to the leg	http://www.symcat.com/conditions/injury-to-the-leg	Injury to the leg	Also known as Leg Injury and Lower Limb Injury					15-29 years	1.5x
Idiopathic painful menstruation	http://www.symcat.com/conditions/idiopathic-painful-menstruation	Idiopathic painful menstruation	Also known as Primary Dysmenorrhea			Lower abdominal pain	33		
Open wound of the face	http://www.symcat.com/conditions/open-wound-of-the-face	Open wound of the face	null		Tetanus Toxoid Vaccine (Adacel)				
Acute pancreatitis	http://www.symcat.com/conditions/acute-pancreatitis	Acute pancreatitis	null		Benzylpenicilloyl Polylysine (Pre-Pen)				
Spondylitis	http://www.symcat.com/conditions/spondylitis	Spondylitis	Also known as Inflammation Of The Vertebra			Stiffness all over	7		
Sciatica	http://www.symcat.com/conditions/sciatica	Sciatica	Also known as Ischia and Sciatic Neuralgia		Pepsin A				
Diaper rash	http://www.symcat.com/conditions/diaper-rash--2	Diaper rash	"Also known as Diaper Dermatitis, Nappy Rash, and Napkin Dermatitis"			Temper problems	6		
Chronic knee pain	http://www.symcat.com/conditions/chronic-knee-pain	Chronic knee pain	Also known as Patellofemoral Pain Syndrome					Male	1.0x
Atrial fibrillation	http://www.symcat.com/conditions/atrial-fibrillation	Atrial fibrillation	"Also known as AF, A Fib, and Auricular Fibrillation"	Cardiac enzymes measurement (Cardiac enzymes test)					
Brachial neuritis	http://www.symcat.com/conditions/brachial-neuritis	Brachial neuritis	"Also known as Parsonage Turner Syndrome, Brachial Plexus Neuritis, Neuralgic Amyotrophy, and Shoulder Girdle Syndrome"					< 1 years	0.0x
Irritable bowel syndrome	http://www.symcat.com/conditions/irritable-bowel-syndrome	Irritable bowel syndrome	"Also known as Irritable Colon, Spastic Colon, and Mucous Colitis"			Constipation	32		
Drug abuse (cocaine)	http://www.symcat.com/conditions/drug-abuse-cocaine	Drug abuse (cocaine)	Also known as Cocaine Abuse					Black	2.3x
Schizophrenia	http://www.symcat.com/conditions/schizophrenia	Schizophrenia	null			Drug abuse	14		
Injury to the finger	http://www.symcat.com/conditions/injury-to-the-finger	Injury to the finger	Also known as Finger Injury		Cefazolin				
Menopause	http://www.symcat.com/conditions/menopause	Menopause	Also known as Change Of Life and Climacteric					30-44 years	0.5x
Spondylitis	http://www.symcat.com/conditions/spondylitis	Spondylitis	Also known as Inflammation Of The Vertebra		Carisoprodol (Soma)				
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis			Itching of skin	18		
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null			Shortness of breath	33		
Postoperative infection	http://www.symcat.com/conditions/postoperative-infection	Postoperative infection	null		Hyaluronidase				
Viral warts	http://www.symcat.com/conditions/viral-warts	Viral warts	null					White	1.1x
Kidney disease due to longstanding hypertension	http://www.symcat.com/conditions/kidney-disease-due-to-longstanding-hypertension	Kidney disease due to longstanding hypertension	Also known as Hypertensive Renal Disease and Hypertensive Nephropathy		Epoetin Alfa (Procrit)				
Cerebral palsy	http://www.symcat.com/conditions/cerebral-palsy	Cerebral palsy	null	Occupational therapy assessment (Speech therapy)					
Impetigo	http://www.symcat.com/conditions/impetigo	Impetigo	null		Cefadroxil				
Personality disorder	http://www.symcat.com/conditions/personality-disorder	Personality disorder	null	Occupational therapy assessment (Speech therapy)					
Vaginal yeast infection	http://www.symcat.com/conditions/vaginal-yeast-infection	Vaginal yeast infection	"Also known as Vaginal Candidiasis, Vaginal Thrush, Candida Vaginitis, Yeast Vaginitis, Monilial Vaginitis, and Vaginal Moniliasis"			Vaginal itching	79		
Panic disorder	http://www.symcat.com/conditions/panic-disorder	Panic disorder	null	Depression screen (Depression screening)					
Osteoporosis	http://www.symcat.com/conditions/osteoporosis	Osteoporosis	null		Calcitonin				
Ingrown toe nail	http://www.symcat.com/conditions/ingrown-toe-nail	Ingrown toe nail	Also known as Ingrown Nail and Onychocryptosis			Skin growth	10		
Indigestion	http://www.symcat.com/conditions/indigestion	Indigestion	Also known as Dyspepsia					Male	0.8x
Acute respiratory distress syndrome (ARDS)	http://www.symcat.com/conditions/acute-respiratory-distress-syndrome-ards	Acute respiratory distress syndrome (ARDS)	"Also known as ARDS, Adult Respiratory Syndrome, Wet Lung, Shock Lung, Wet Lung Syndrome, Danang Lung, and Adult Hyaline Membrane Disease"	Kidney function tests (Kidney function test)					
Carpal tunnel syndrome	http://www.symcat.com/conditions/carpal-tunnel-syndrome	Carpal tunnel syndrome	Also known as Median Nerve Entrapment			Arm pain	45		
Acute otitis media	http://www.symcat.com/conditions/acute-otitis-media	Acute otitis media	null			Ear pain	84		
Diverticulitis	http://www.symcat.com/conditions/diverticulitis	Diverticulitis	null					5-14 years	0.1x
Ischemic heart disease	http://www.symcat.com/conditions/ischemic-heart-disease	Ischemic heart disease	null	Ultrasonography (Ultrasound)					
Cervical cancer	http://www.symcat.com/conditions/cervical-cancer	Cervical cancer	Also known as Carcinoma Of Cervix			Jaundice	2		
Attention deficit hyperactivity disorder (ADHD)	http://www.symcat.com/conditions/attention-deficit-hyperactivity-disorder-adhd	Attention deficit hyperactivity disorder (ADHD)	Also known as ADHD and Hyperkinetic Syndrome					Hispanic	0.6x
Cirrhosis	http://www.symcat.com/conditions/cirrhosis	Cirrhosis	"Also known as Liver Cirrhosis, Cirrhosis Of Liver, and Hepatic Cirrhosis"		Furosemide				
Knee ligament or meniscus tear	http://www.symcat.com/conditions/knee-ligament-or-meniscus-tear	Knee ligament or meniscus tear	Also known as Knee Derangement	Other non-OR therapeutic procedures on musculoskeletal system					
Kidney disease due to longstanding hypertension	http://www.symcat.com/conditions/kidney-disease-due-to-longstanding-hypertension	Kidney disease due to longstanding hypertension	Also known as Hypertensive Renal Disease and Hypertensive Nephropathy	Urinalysis					
Sciatica	http://www.symcat.com/conditions/sciatica	Sciatica	Also known as Ischia and Sciatic Neuralgia	Radiographic imaging procedure					
Neuralgia	http://www.symcat.com/conditions/neuralgia	Neuralgia	null			Low back pain	54		
Chronic kidney disease	http://www.symcat.com/conditions/chronic-kidney-disease	Chronic kidney disease	null					60-74 years	2.4x
Drug abuse (opioids)	http://www.symcat.com/conditions/drug-abuse-opioids	Drug abuse (opioids)	Also known as Opioid Abuse and Opiate Abuse			Depressive or psychotic symptoms	46		
Bruise	http://www.symcat.com/conditions/bruise	Bruise	Also known as Contusion	Radiographic imaging procedure					
Injury of the ankle	http://www.symcat.com/conditions/injury-of-the-ankle	Injury of the ankle	Also known as Ankle injury					75+ years	0.6x
Otitis externa (swimmer's ear)	http://www.symcat.com/conditions/otitis-externa-swimmer-s-ear	Otitis externa (swimmer's ear)	Also known as Swimmer's ear			Redness in ear	36		
Joint effusion	http://www.symcat.com/conditions/joint-effusion	Joint effusion	Also known as Hydrarthrosis and Synovial Effusion					60-74 years	1.2x
Corneal abrasion	http://www.symcat.com/conditions/corneal-abrasion	Corneal abrasion	Also known as Cornea Scratch			Foreign body sensation in eye	24		
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		Ketoconazole				
Developmental disability	http://www.symcat.com/conditions/developmental-disability	Developmental disability	Also known as Child Development Disorder			Lack of growth	24		
Acute sinusitis	http://www.symcat.com/conditions/acute-sinusitis	Acute sinusitis	null			Cough	81		
Diverticulitis	http://www.symcat.com/conditions/diverticulitis	Diverticulitis	null	X-ray computed tomography (Scan ct)					
Dry eye of unknown cause	http://www.symcat.com/conditions/dry-eye-of-unknown-cause	Dry eye of unknown cause	Also known as Dry Eye Syndrome					Female	1.3x
Myopia	http://www.symcat.com/conditions/myopia	Myopia	Also known as Nearsightedness			Spots or clouds in vision	31		
Colorectal cancer	http://www.symcat.com/conditions/colorectal-cancer	Colorectal cancer	Also known as Colon cancer					15-29 years	0.1x
Atrial fibrillation	http://www.symcat.com/conditions/atrial-fibrillation	Atrial fibrillation	"Also known as AF, A Fib, and Auricular Fibrillation"					White	1.3x
Acute bronchospasm	http://www.symcat.com/conditions/acute-bronchospasm	Acute bronchospasm	Also known as Bronchial Spasm					Male	1.1x
Spontaneous abortion	http://www.symcat.com/conditions/spontaneous-abortion	Spontaneous abortion	Also known as Miscarriage and Miscarriage Of Pregnancy					45-59 years	0.0x
Epilepsy	http://www.symcat.com/conditions/epilepsy	Epilepsy	Also known as Seizure Disorder			Eye moves abnormally	2		
Herniated disk	http://www.symcat.com/conditions/herniated-disk	Herniated disk	Also known as Slipped Disk and Prolapsed Disk		Iohexol (Omnipaque)				
Autism	http://www.symcat.com/conditions/autism	Autism	Also known as Autistic Disorder		Divalproex Sodium (Depakote)				
Gastrointestinal hemorrhage	http://www.symcat.com/conditions/gastrointestinal-hemorrhage	Gastrointestinal hemorrhage	"Also known as GI Bleeding, Gi Bleed, Gastrointestinal Bleeding, Gastrointestinal Bleed, and GI Hemorrhage"					75+ years	2.8x
Ganglion cyst	http://www.symcat.com/conditions/ganglion-cyst	Ganglion cyst	Also known as Synovial Cyst and Myxoid Cyst					Hispanic	0.9x
Gastrointestinal hemorrhage	http://www.symcat.com/conditions/gastrointestinal-hemorrhage	Gastrointestinal hemorrhage	"Also known as GI Bleeding, Gi Bleed, Gastrointestinal Bleeding, Gastrointestinal Bleed, and GI Hemorrhage"			Sharp abdominal pain	53		
Postoperative infection	http://www.symcat.com/conditions/postoperative-infection	Postoperative infection	null			Irregular belly button	6		
Deviated nasal septum	http://www.symcat.com/conditions/deviated-nasal-septum	Deviated nasal septum	null		Cocaine Topical				
Tinnitus of unknown cause	http://www.symcat.com/conditions/tinnitus-of-unknown-cause	Tinnitus of unknown cause	null		Magnesium Chloride				
Drug abuse	http://www.symcat.com/conditions/drug-abuse--2	Drug abuse	Also known as Recreational Drug Use	Hematologic tests (Blood test)					
Peripheral nerve disorder	http://www.symcat.com/conditions/peripheral-nerve-disorder	Peripheral nerve disorder	Also known as Peripheral Neuropathy	Examination of foot					
Diabetic retinopathy	http://www.symcat.com/conditions/diabetic-retinopathy	Diabetic retinopathy	null	Destruction of lesion of retina and choroid					
Acute stress reaction	http://www.symcat.com/conditions/acute-stress-reaction	Acute stress reaction	null			Headache	45		
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null					Black	1.1x
Fracture of the arm	http://www.symcat.com/conditions/fracture-of-the-arm	Fracture of the arm	Also known as Arm Fracture and Upper Extremity Fracture		Digitoxin				
Obsessive compulsive disorder (OCD)	http://www.symcat.com/conditions/obsessive-compulsive-disorder-ocd	Obsessive compulsive disorder (OCD)	Also known as OCD and Obsessive Compulsive Neurosis					5-14 years	1.7x
Graves disease	http://www.symcat.com/conditions/graves-disease	Graves disease	"Also known as Graves' Disease, Basedow Disease, and Exophthalmic Goiter"	Glucose measurement (Glucose level)					
Joint effusion	http://www.symcat.com/conditions/joint-effusion	Joint effusion	Also known as Hydrarthrosis and Synovial Effusion		Streptomycin				
Muscle spasm	http://www.symcat.com/conditions/muscle-spasm	Muscle spasm	null					Male	0.9x
Delirium	http://www.symcat.com/conditions/delirium	Delirium	Also known as Acute Brain Syndrome		Oxazepam				
Erectile dysfunction	http://www.symcat.com/conditions/erectile-dysfunction	Erectile dysfunction	"Also known as Impotence, Sexual Impotence, and Male Erectile Disorder"			Loss of sex drive	12		
Oral thrush (yeast infection)	http://www.symcat.com/conditions/oral-thrush-yeast-infection	Oral thrush (yeast infection)	null			Irritable infant	32		
Migraine	http://www.symcat.com/conditions/migraine	Migraine	Also known as Migraine Headaches and Migraine Syndrome		Propranolol				
Esophagitis	http://www.symcat.com/conditions/esophagitis	Esophagitis	null			Difficulty in swallowing	47		
Open wound of the foot	http://www.symcat.com/conditions/open-wound-of-the-foot	Open wound of the foot	null					Black	1.0x
Skin cancer	http://www.symcat.com/conditions/skin-cancer	Skin cancer	Also known as Malignant Neoplasm Of Skin					Male	1.3x
Dental caries	http://www.symcat.com/conditions/dental-caries	Dental caries	"Also known as Tooth Decay, Tooth Cavity, Dental Decay, Dental Cavity, and Saprodontia"			Jaw swelling	20		
Attention deficit hyperactivity disorder (ADHD)	http://www.symcat.com/conditions/attention-deficit-hyperactivity-disorder-adhd	Attention deficit hyperactivity disorder (ADHD)	Also known as ADHD and Hyperkinetic Syndrome			Anxiety and nervousness	32		
Hyperemesis gravidarum	http://www.symcat.com/conditions/hyperemesis-gravidarum	Hyperemesis gravidarum	Also known as Excessive Vomiting In Pregnancy					Hispanic	1.2x
Foreign body in the eye	http://www.symcat.com/conditions/foreign-body-in-the-eye	Foreign body in the eye	null		Tropicamide Ophthalmic				
Postpartum depression	http://www.symcat.com/conditions/postpartum-depression	Postpartum depression	"Also known as Postnatal Depression, Postnatal Blues, and Puerperal Depression"		Methadone				
Sinus bradycardia	http://www.symcat.com/conditions/sinus-bradycardia	Sinus bradycardia	null		Methylcellulose (Citrucel)				
Chronic ulcer	http://www.symcat.com/conditions/chronic-ulcer	Chronic ulcer	Also known as Chronic Skin Ulcer					75+ years	2.8x
Bruise	http://www.symcat.com/conditions/bruise	Bruise	Also known as Contusion					5-14 years	1.5x
Diaper rash	http://www.symcat.com/conditions/diaper-rash--2	Diaper rash	"Also known as Diaper Dermatitis, Nappy Rash, and Napkin Dermatitis"			Cough	43		
Social phobia	http://www.symcat.com/conditions/social-phobia	Social phobia	Also known as Social Anxiety Disorder			Depression	67		
Acute pancreatitis	http://www.symcat.com/conditions/acute-pancreatitis	Acute pancreatitis	null	Electrolytes panel					
Seasonal allergies (hay fever)	http://www.symcat.com/conditions/seasonal-allergies-hay-fever	Seasonal allergies (hay fever)	"Also known as Hay Fever, Seasonal Allergic Rhinitis, and Pollenosis"		Triamcinolone Nasal Product				
Breast cancer	http://www.symcat.com/conditions/breast-cancer	Breast cancer	Also known as Cancer Of Breast and Malignant Neoplasm Of Breast					30-44 years	0.6x
Impetigo	http://www.symcat.com/conditions/impetigo	Impetigo	null					75+ years	0.2x
Gout	http://www.symcat.com/conditions/gout	Gout	Also known as Uric acid arthropathy					Hispanic	0.5x
Tendinitis	http://www.symcat.com/conditions/tendinitis	Tendinitis	null		Sulindac				
Fungal infection of the hair	http://www.symcat.com/conditions/fungal-infection-of-the-hair	Fungal infection of the hair	Also known as Tinea Capitis and Ringworm Of Scalp		Benzoyl Peroxide Topical				
Urinary tract infection	http://www.symcat.com/conditions/urinary-tract-infection	Urinary tract infection	Also known as UTI		Bactrim				
Fibroadenoma	http://www.symcat.com/conditions/fibroadenoma	Fibroadenoma	null			Vaginal dryness	1		
Open wound of the finger	http://www.symcat.com/conditions/open-wound-of-the-finger	Open wound of the finger	null		Iodine Topical				
Obstructive sleep apnea (OSA)	http://www.symcat.com/conditions/obstructive-sleep-apnea-osa	Obstructive sleep apnea (OSA)	Also known as OSA			Difficulty breathing	51		
Postpartum depression	http://www.symcat.com/conditions/postpartum-depression	Postpartum depression	"Also known as Postnatal Depression, Postnatal Blues, and Puerperal Depression"			Pain during pregnancy	25		
Degenerative disc disease	http://www.symcat.com/conditions/degenerative-disc-disease	Degenerative disc disease	Also known as Disk Degeneration and Intervertebral Disc Degeneration					Other	0.5x
